급여대상,사료 종목,브랜드,이름,가격,용량,사료 형태,제조국,유기농여부,특이사항,칼로리(100g),특정종대상,동물크기,급여연령,Mainflavor,Allergy,주원료,키블크기,금기대상,특정급여시기,질환,처방적용대상효능,수분,조단백질,조지방,조회분,조섬유,칼슘,인,탄수화물,오메가3,오메가6
강아지,일반식,로얄캐닌,미니 더마 컴포트(MINI DERMACOMFORT),38400,3000,건식(반건식),프랑스,N,피부 개선,400.8,전체,소형,11~max,"돼지, 옥수수, 닭, 칠면조","쌀, 밀, 옥수수, 닭, 칠면조, 곡류","쌀, 밀글루텐, 소맥분, 동물성지방(돼지), 옥수수글루텐, 귀리, 옥수수, 동물성유도단백질(닭 칠면조), 혼합광물질류합제, 대두유, 사탕무박, 어유, 아마, 프락토올리고당, 글리세린지방산에스테르, 보리지유, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,28.7,18.8,6.1,1.6,0.7,0.7,-1,1.3,3.9
강아지,일반식,로얄캐닌,미니 라이트 웨이트 케어(MINI LIGHT WEIGHT CARE),35000,2000,건식(반건식),프랑스,N,체중관리,337.1,전체,소형,11~max,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 쌀, 곡류, 밀","육분(닭 칠면조 오리), 옥수수, 보리, 쌀, 밀글루텐, 옥수수글루텐, 동물성유도단백질(닭 칠면조), 식물성혼합섬유질, 동물성지방(돼지 가금류), 사탕무박, 분말셀룰로스, 혼합광물질류합제, 어유, 효모, 대두유, 차전자피, 프락토올리고당, 보리지유, 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,33.2,12.2,5.6,7.5,0.9,0.7,-1,0.6,2.5
강아지,일반식,로얄캐닌,미니 다이제스티브 케어(MINI DIGESTIVE CARE),16000,1000,건식(반건식),프랑스,N,건강한 변,425.7,전체,소형,11~max,"닭, 오리, 칠면조","닭, 칠면조, 오리, 쌀, 밀, 곡류, 옥수수, 효모","육분(닭 오리 칠면조), 쌀, 소맥분, 동물성지방(가금류 돼지), 동물성유도단백질(닭 칠면조), 밀글루텐, 보리, 옥수수글루텐, 사탕무박, 효모, 어유, 대두유, 분말셀룰로스, 혼합광물질류합제, 프락토올리고당, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,33.2,24.3,6.7,2,0.9,0.8,-1,1,4.9
강아지,일반식,로얄캐닌,미디엄 퍼피(MEDIUM PUPPY),31500,4000,건식(반건식),프랑스,N,,410.9,전체,중형,3~12,"닭, 오리, 칠면조, 돼지","닭, 칠면조, 오리, 쌀, 밀, 옥수수, 곡류","육분(닭 칠면조 오리), 동물성지방(가금류 돼지), 옥수수, 밀글루텐, 사탕무박, 옥수수글루텐, 쌀, 소맥분, 동물성 유도단백질(닭 칠면조 어류), 밀, 옥수수분말, 혼합광물질류합제, 어유, 대두유, 효모, 프락토올리고당, 가수분해효모(만난올리고당의원료), 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,34.8,21.7,8.7,1.9,1.4,1.2,-1,0.8,3.5
강아지,일반식,로얄캐닌,미디엄 어덜트(MEDIUM ADULT),74000,10000,건식(반건식),프랑스,N,,385.7,전체,중형,13~max,"닭, 오리, 칠면조","닭, 칠면조, 오리, 밀, 옥수수, 어류","육분(닭 오리 칠면조), 옥수수, 옥수수분말, 소맥분, 동물성지방(돼지), 밀, 동물성유도단백질(가금 어류), 사탕무박, 어유, 대두유, 효모, 혼합광물질류합제, 가수분해효모(만난올리고당의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,27.6,15.5,6.7,1.4,1.3,0.9,-1,0.7,2.8
강아지,일반식,로얄캐닌,맥시 퍼피(MAXI PUPPY),36400,4000,건식(반건식),프랑스,N,,380.1,전체,대형,3~15,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 어류","육분(닭 칠면조 오리), 쌀, 옥수수분말, 밀글루텐, 동물성지방(가금류 돼지), 옥수수, 소맥분, 가수분해동물단백질(가금류 어류), 사탕무박, 옥수수글루텐, 혼합광물질류합제, 분말셀룰로스, 대두유, 어유, 프락토올리고당, 차전자피, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 뮤코다당단백(콘드로이틴의원료), 글루코사민, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,33.2,17.7,8.5,2.9,1.4,1.2,-1,0.6,3
강아지,일반식,로얄캐닌,맥시 어덜트(MAXI ADULT),68500,10000,건식(반건식),프랑스,N,,398.9,전체,대형,16~max,"닭, 오리, 칠면조, 옥수수","닭, 오리, 칠면조, 옥수수, 쌀, 밀, 곡류, 효모","육분(닭 오리 칠면조), 옥수수, 옥수수분말, 동물성지방(돼지), 밀, 쌀, 옥수수, 글루텐, 동물성유도단백질(가금 어류), 사탕무박, 어유, 대두유, 혼합광물질류합제, 효모, 글루코사민, 뮤코다당단백(콘드로이틴의 원료)., 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",13~13,-1,무관,-1,-1,0,28.7,18.8,7.3,1.3,1.3,0.9,39.7,0.9,3.6
강아지,일반식,로얄캐닌,PRO 맥시 스타터 마더 앤 베이비독(MAXI STARTER MOTHER &BABYDOG),130000,15000,건식(반건식),프랑스,N,"임신, 수유기, 이유기",435,전체,대형,0~2,"곡류, 닭, 칠면조, 오리, 어류","닭, 칠면조, 오리, 쌀, 밀, 옥수수","쌀, 육분(닭 칠면조 오리), 동물성지방(가금류 돼지), 밀글루텐, 동물성유도단백질(닭 칠면조 어류), 옥수수, 사탕무박, 혼합광물질류합제, 대두유, 분말셀룰로스, 어유프락토올리고당, 차전자피, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,"임신기, 수유기",-1,-1,0,32.6,23.9,7.6,6.9,1.3,1,-1,0.8,4.2
강아지,일반식,로얄캐닌,PRO 자이언트 퍼피(GIANT PUPPY),191600,20000,건식(반건식),프랑스,N,,387.5,전체,초대형,0~8,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 계란, 효모","마이즈, 탈수가금육, 마이즈글루텐, 동물성지방, 가금단백질, 가금간, 사탕무과육, 미네랄, 계란분말, 콩오일, 생선오일, FOS(프럭토-올리고당)차전자피와씨, 미량원소(킬레이트화미량원소포함), 효모추출물(만난-올리고당의원료), DL-메티오닌, 타우린, 가수분해된갑각류(글루코사민의원료), 가수분해된연골(콘드로이틴의원료), 금잔화추출물(루테인의원료)",9~10,-1,무관,-1,-1,0,37,15.2,7.9,1.4,1.1,0.9,-1,0.8,3.3
강아지,일반식,로얄캐닌,PRO 자이언트 주니어(GIANT JUNIOR),191600,20000,건식(반건식),프랑스,N,,395,전체,초대형,0~12,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 효모, 계란","탈수가금육, 쌀, 식물성단백질분리물, 마이즈, 동물성지방, 가수분해동물성단백질, 사탕무과육, 미네랄, 생선오일, 효모, 콩오일, FOS(프럭토-올리고당), 차전자피와씨, L-라이신, 효모추출물(만난-올리고당의원료), DL-메티오닌, 계란분말, 타우린, 가수분해갑각류(글루코사민의원료), L-카르니틴, 가수분해연골(콘드로이틴의원료), 금잔화추출물(루테인원료)",13~13,-1,무관,-1,-1,0,33.7,17.4,8.7,1.4,1.3,1,-1,0.7,3.3
강아지,일반식,로얄캐닌,PRO 자이언트 어덜트(GIANT ADULT),191600,20000,건식(반건식),프랑스,N,,415.1,전체,초대형,0~12,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 효모","탈수가금육, 마이즈분말, 마이즈, 동물성지방, 마이즈글루텐, 가수분해동물성단백질, 식물분리단백질, 사탕무과육, 식이섬유, 생선오일, 미네랄, 콩오일, 효모, 보라지오일, 가수분해갑각류(글루코사민원료), L-타이로신, L-카르니틴, 가수분해연골(콘드로이틴의원료)",13~13,-1,무관,-1,-1,0,30.4,21.7,6.5,2.1,1.1,0.8,-1,0.9,4.4
강아지,일반식,로얄캐닌,미니어처 슈나우저 어덜트,33300,3000,건식(반건식),프랑스,N,,363,슈나우저,무관,11~max,"곡류, 닭, 칠면조, 오리, 옥수수","닭, 칠면조, 오리, 쌀, 옥수수, 밀","쌀, 육분(닭 칠면조 오리), 옥수수, 밀글루텐, 옥수수글루텐, 동물성지방(가금류), 혼합광물질류합제, 동물성유도단백질(닭 칠면조), 치커리추출물, 어유, 분말셀룰로스, 차전자피, 프락토올리고당, 대두유, 보리지유, 녹차와포도추출물(폴리페놀의원료), 글루코사민, 금잔화추출물(루테인의원료), 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",10~10,-1,무관,-1,-1,0,27.8,13.3,8.9,2.2,0.8,0.6,-1,0.6,2.9
강아지,일반식,로얄캐닌,미니어처 슈나우저 퍼피,22800,1500,건식(반건식),프랑스,N,,377.4,슈나우저,무관,3~10,"닭, 칠면조, 오리, 옥수수, 곡류","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 효모","육분(닭 칠면조 오리), 옥수수, 밀글루텐, 쌀, 소맥분, 동물성지방(닭 칠면조 오리), 밀, 옥수수분말, 옥수수글루텐, 유도단백질(닭 칠면조), 치커리, 혼합광물질류합제, 어유, 대두유, 프락토올리고당, 차전자피, 효모, 보리지유, 효모추출물, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,33.3,15.6,8.3,2,1.3,1,-1,0.7,3.3
강아지,일반식,로얄캐닌,말티즈 어덜트(Maltese Adult),59000,4500,건식(반건식),프랑스,N,,404.2,말티즈,무관,11~max,"옥수수, 곡류, 닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 효모","옥수수, 쌀, 육분(닭 칠면조 오리), 동물성지방(가금류 돼지), 동물성유도단백질(닭 칠면조), 육분(돼지), 옥수수분말, 밀글루텐, 치커리, 대두유, 효모, 혼합광물질류합제, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 녹차추출물(폴리페놀), 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,26.7,20,6.1,1.6,-1,-1,-1,0.4,2.9
강아지,일반식,로얄캐닌,요크셔테리어 어덜트(Yorkshire Terrier Adult),20770,1500,건식(반건식),프랑스,N,,93.4,요크셔테리어,무관,11~max,"닭, 칠면조, 오리, 곡류, 옥수수","닭, 칠면조, 오리, 옥수수, 쌀, 밀","육분(닭 칠면조 오리), 옥수수분말, 쌀, 동물성지방(가금류), 밀글루텐, 옥수수, 옥수수글루텐, 동물성유도단백질(닭 칠면조), 분말셀룰로스, 사탕무박, 혼합광물질류합제, 어유, 효모, 대두유, 프락토올리고당, 가수분해효모(만난올리고당의원료), 보리지유, 녹차와포도추출물(폴리페놀의원료), 금잔화추출물(루테인의원료), 글루코사민, 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",10~10,-1,무관,-1,-1,0,31.1,20,5.6,3.4,-1,-1,-1,0.6,3.5
강아지,일반식,로얄캐닌,요크셔테리어 퍼피,20770,1500,건식(반건식),프랑스,N,,410.9,요크셔테리어,무관,3~10,"닭, 칠면조, 오리, 곡류, 옥수수","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 효모","육분(닭 칠면조 오리), 쌀, 옥수수분말, 동물성지방(닭 칠면조 오리), 밀글루텐, 사탕무박, 동물성유도단백질(닭 칠면조), 혼합광물질류합제, 대두유, 어유, 효모, 프락토올리고당, 가수분해효모, 보리지유, 효모추출물, 금잔화추출물, 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,32.2,22.2,7.8,1.4,1.3,1,-1,0.8,4.1
강아지,일반식,로얄캐닌,시츄 퍼피,21300,1500,건식(반건식),프랑스,N,구부러진키블(단두종),406.6,시츄,무관,3~10,"닭, 칠면조, 오리, 곡류, 옥수수","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 효모","육분(닭 칠면조 오리), 쌀, 옥수수, 동물성지방(닭 칠면조 오리), 밀글루텐, 사탕무박, 동물성유도단백질(닭 칠면조), 어유, 혼합광물질류합제, 대두유, 프락토올리고당, 효모추출물, 금잔화추출물, 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,31.1,20,7.6,1.7,0.8,1,-1,0.8,3.9
강아지,일반식,로얄캐닌,시츄 어덜트,20740,1500,건식(반건식),프랑스,N,방파제키블,390.5,시츄,무관,11~max,"곡류, 닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 밀, 과일","쌀, 육분(닭 칠면조 오리), 동물성지방(가금류), 밀글루텐, 동물성유도단백질(닭 칠면조), 분말셀룰로스, 사탕무박, 혼합광물질류합제, 어유, 대두유, 프락토올리고당, 보리지유, 금잔화추출물(루테인의원료), 녹차와포도추출물(폴리페놀의원료), 글루코사민, 뮤코다당단백(콘드로이틴의 원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,24.4,20,6.2,4.8,-1,-1,-1,0.6,3.8
강아지,일반식,로얄캐닌,푸들 어덜트,20870,1500,건식(반건식),프랑스,N,,387.3,푸들,무관,11~max,"옥수수, 닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 밀","옥수수, 육분(닭 칠면조 오리), 밀글루텐, 동물성지방(가금류), 쌀, 옥수수분말, 옥수수글루텐, 동물성유도단백질(닭 칠면조), 사탕무박, 대두유, 혼합광물질류합제, 어유, 효모, 분말셀룰로스, 프락토올리고당, 보리지유, 녹차와포도추출물(폴리페놀의원료), 글루코사민, 금잔화추출물(루테인의원료), 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,33.3,21.1,5.9,2.2,0.9,0.7,-1,0.8,4.9
강아지,일반식,로얄캐닌,푸들 퍼피,23570,1500,건식(반건식),프랑스,N,,406.6,푸들,무관,3~10,"닭, 오리, 칠면조, 곡류, 옥수수","닭, 칠면조, 오리, 쌀, 밀, 옥수수","육분(닭 오리 칠면조), 밀글루텐, 동물성지방(가금류 돼지), 옥수수, 쌀, 옥수수글루텐, 밀, 동물성유도단백질(닭 칠면조), 옥수수분말, 사탕무박, 혼합광물질류합제, 어유, 효모, 대두유, 프락토올리고당, 차전자피, 가수분해효모, 보리지유, 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,36.7,21.1,7.9,1.6,1.3,1,-1,0.9,4.4
강아지,일반식,로얄캐닌,비숑프리제 어덜트,47800,1500,건식(반건식),프랑스,N,,384.3,비숑프리제,무관,11~max,"곡류, 닭, 오리, 칠면조, 옥수수","닭, 오리, 칠면조, 쌀, 밀, 옥수수","쌀, 육분(닭 오리 칠면조), 옥수수, 밀, 밀글루텐, 동물성지방(가금류), 옥수수글루텐, 동물성유도단백질(닭 칠면조), 대두유, 치커리펄프, 어유, 효모, 프락토올리고당, 차전자피, 보리지유, 녹차와포도추출물(폴리페놀의원료), 글루코사민, 금잔화추출물(루테인의 원료), 뮤코다당단백(콘드로이틴의원료), L-카르니틴, 폴리인산나트륨, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 항산화제",9~10,-1,무관,-1,-1,0,32.2,16.7,8.2,1.7,-1,-1,-1,-1,-1
강아지,일반식,로얄캐닌,닥스훈트 어덜트,20700,1500,건식(반건식),프랑스,N,,357.4,닥스훈트,무관,10~max,"곡류, 닭, 오리, 칠면조, 옥수수","닭, 칠면조, 오리, 쌀, 밀, 과일","쌀, 육분(닭 칠면조 오리), 밀글루텐, 동물성지방(닭 칠면조 오리), 대두박(가수분해대두단백질), 분말셀룰로스, 혼합광물질류합제, 사탕무박, 어유, 프락토올리고당, 보리지유, 금잔화, 추출물(루테인의원료), 글루코사민, 녹차와포도추출물(폴리페놀의원료), 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,31.1,15.6,7.1,3.2,-1,-1,-1,-1,-1
강아지,일반식,로얄캐닌,닥스훈트 퍼피,20700,1500,건식(반건식),프랑스,N,,391.2,닥스훈트,무관,3~10,"닭, 칠면조, 오리, 곡류, 옥수수","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 효모","육분(닭 칠면조 오리), 쌀, 옥수수, 밀글루텐, 동물성지방(닭 칠면조 오리), 사탕무박, 동물성 유도단백질(닭 칠면조), 대두유, 어유, 혼합광물질류합제, 프락토올리고당, 효모, 효모추출물, 금잔화추출물, 글루코사민, 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,33.3,17.8,7.7,1.7,1.3,1,-1,0.7,3.8
